,Random,AI D4E1,AI D4E2,AI D6E1,AI D6E2,AI D8E1,AI D8E2,MCTS 0.5s
Random,"((44, 38), 0.00028048992156982423, 9.484529495239258e-05)","((0, 97), 8.801221847534179e-05, 0.08859097242355346)","((1, 97), 8.758544921875e-05, 0.12729907751083375)","((0, 98), 0.00012755632400512695, 1.4100683283805848)","((0, 100), 0.00011942863464355469, 2.182922296524048)","((0, 99), 0.0002253103256225586, 27.149863803386687)","((0, 98), 0.00023734807968139648, 35.9896867442131)","((3, 78), 0.0001537489891052246, 14.130999579429627)"
AI D4E1,"((100, 0), 0.10951079845428467, 6.898164749145507e-05)","((0, 0), 0.13909844398498536, 0.1306146502494812)","((0, 100), 0.10157711029052735, 0.12006905794143677)","((0, 100), 0.10028254747390747, 1.51486891746521)","((0, 100), 0.10808266639709473, 1.8313397431373597)","((0, 100), 0.15982702255249023, 35.76540235280991)","((0, 0), 0.22647002458572388, 158.62697906017303)","((81, 7), 0.13776490211486817, 12.515568041801453)"
AI D4E2,"((100, 0), 0.13948944568634034, 7.120847702026368e-05)","((0, 0), 0.10431347370147705, 0.05866548061370849)","((100, 0), 0.12277281761169434, 0.13310221433639527)","((100, 0), 0.10757784843444824, 1.1279186272621156)","((100, 0), 0.12847339630126953, 1.3453957962989807)","((0, 0), 0.12297822713851929, 14.284363670349121)","((0, 100), 0.11145174503326416, 22.237492778301238)","((94, 0), 0.1999611711502075, 11.90686453819275)"
AI D6E1,"((100, 0), 2.327425789833069, 0.00011128902435302734)","((100, 0), 2.8504732418060303, 0.11776407718658448)","((0, 0), 1.2786572504043578, 0.12959718465805053)","((100, 0), 1.8157204270362854, 1.5280172634124756)","((0, 100), 4.251615781784057, 5.94589439868927)","((0, 100), 3.111848142147064, 44.88750600576401)","((0, 100), 6.265040163993835, 187.972505505085)","((86, 3), 2.5423322105407715, 12.368786182403564)"
AI D6E2,"((100, 0), 2.716115071773529, 0.00011425256729125976)","((100, 0), 2.2184787297248842, 0.12722235202789306)","((100, 0), 3.4218526458740235, 0.19087720394134522)","((0, 0), 2.920156488418579, 1.9772644758224487)","((100, 0), 1.899804356098175, 1.568640706539154)","((0, 0), 2.5908367037773132, 22.138199474811554)","((0, 100), 1.9444590902328491, 35.25832937479019)","((95, 1), 3.6876157546043395, 11.420962193012237)"
AI D8E1,"((99, 0), 40.9601181101799, 0.00023860931396484374)","((100, 0), 28.714514956474304, 0.11388592004776)","((0, 100), 86.84196333885193, 0.2379015016555786)","((100, 0), 25.512275805473326, 1.3586031484603882)","((0, 100), 41.81650543689728, 3.1173513889312745)","((100, 0), 67.74160902023316, 57.599400417804716)","((0, 100), 131.22845505476, 151.4610962986946)","((100, 0), 48.421914231777194, 12.336588180065155)"
AI D8E2,"((100, 0), 49.70651810407639, 0.0002553200721740723)","((100, 0), 38.0773061299324, 0.12117552757263184)","((100, 0), 22.55892324924469, 0.09278666734695434)","((100, 0), 137.4267244577408, 6.418443036079407)","((100, 0), 28.8482138299942, 1.7257741522789)","((0, 100), 39.937811143398285, 28.39618087530136)","((0, 100), 24.776186311244963, 18.33529235124588)","((97, 0), 65.70495406150818, 11.354756734371186)"
MCTS 0.5s,"((80, 2), 14.247431395053864, 0.00011698722839355469)","((7, 76), 13.109463958740234, 0.11813140153884888)","((5, 79), 13.094202959537506, 0.16962976932525634)","((2, 85), 12.750174052715302, 1.7170497846603394)","((2, 91), 12.003638687133789, 2.929094228744507)","((2, 96), 12.54302101135254, 37.02650978088379)","((1, 97), 12.20111128807068, 44.46422897100449)","((37, 31), 14.529145863056183, 14.286412553787232)"
