,Random,AI Eval 1_4,AI Eval 2_4,AI Eval 1_6,AI Eval 2_6,AI Eval 2_8,MCTS 0.5s
Random,"(0.37, 7.303237915039062e-05, 6.526231765747071e-05)","(0.0, 9.569406509399414e-05, 0.08680296182632447)","(0.0, 8.877277374267578e-05, 0.13511544942855835)","(0.0, 0.0001435112953186035, 1.2495997428894043)","(0.0, 0.00013087034225463866, 2.3587740874290466)","(0.0, 0.00021075963973999024, 44.57719812631607)","(0.08, 0.0001397109031677246, 14.153586292266846)"
AI Eval 1_4,"(1.0, 0.10652719020843505, 7.148027420043945e-05)","(0.0, 0.14117560863494874, 0.13200294017791747)","(0.0, 0.10244640827178955, 0.12201608419418335)","(0.0, 0.09913560390472412, 1.5385628247261047)","(0.0, 0.11050502777099609, 1.852839150428772)","(0.0, 0.22947877883911133, 160.6103737950325)","(0.82, 0.14337321758270263, 12.457844886779785)"
AI Eval 2_4,"(0.98, 0.14371750593185426, 6.978273391723633e-05)","(0.0, 0.10538165330886841, 0.05968378782272339)","(1.0, 0.12191563606262207, 0.1317151165008545)","(1.0, 0.10967986106872558, 1.1478486013412477)","(1.0, 0.12922120332717896, 1.3642626047134399)","(0.0, 0.11161370992660523, 22.237293376922608)","(0.82, 0.1934540867805481, 12.30007376909256)"
AI Eval 1_6,"(0.98, 1.9575233340263367, 0.00011120080947875977)","(1.0, 2.8012018251419066, 0.11797394275665284)","(0.0, 1.1849154233932495, 0.11736262798309326)","(1.0, 1.7969768166542053, 1.5133906126022338)","(0.0, 4.28838728427887, 6.004653844833374)","(0.0, 6.184646489620209, 183.63832313537597)","(0.87, 2.6371588277816773, 12.33927743434906)"
AI Eval 2_6,"(1.0, 2.4380912232398986, 0.00010965347290039063)","(1.0, 2.0522032952308655, 0.11466561555862427)","(1.0, 3.1554780769348145, 0.17401738882064818)","(0.0, 2.7925730752944946, 1.8871729397773742)","(1.0, 1.8727347612380982, 1.5458752965927125)","(0.0, 1.955875792503357, 35.47563410997391)","(0.94, 3.4960663080215455, 11.603243401050568)"
AI Eval 2_8,"(1.0, 52.479661569595336, 0.00018177747726440428)","(1.0, 37.69811931848526, 0.11533738374710083)","(1.0, 21.54871861219406, 0.08979007005691528)","(1.0, 146.14495577573777, 6.475614728927613)","(1.0, 29.971417095661163, 1.7898583960533143)","(0.0, 25.11989392518997, 18.5844677233696)","(0.96, 64.06189164876938, 11.424979853630067)"
MCTS 0.5s,"(0.84, 14.038114366531373, 0.00011627674102783203)","(0.06, 13.140069704055787, 0.10595504760742187)","(0.03, 12.617302548885345, 0.17329933404922485)","(0.06, 12.94550803899765, 1.6380796933174133)","(0.01, 12.133122804164886, 2.773867123126984)","(0.0, 12.270517089366912, 48.520994210243224)","(0.32, 14.567228093147278, 14.311639478206635)"
